# single words - nimi pu
uF1900	a	# a, default
uFFB10	a1	# a, straight exclamation radical
uFFB11	a2	# a, diagonal exclamation radical
uFFD60	a3	# a, double exclamation
uFFD61	a4	# a, triple exclamation
uFFD62	a5	# a, interrobang
uF1901	akesi	# akesi, default, upright
uF1901	akesi1	# akesi, six-legged, upright
uFFD63	akesi2	# akesi, four-legged, upright
uFFAFF	akesiv	# akesi, default, turned
uFFAFF	akesiv1	# akesi, six-legged, turned
uFFD64	akesiv2	# akesi, four-legged, turned
uF1902	ala	# ala
uF1903	alasa	# alasa
uF1904	ale	# ale, synonym of ali
uF1904	ali	# ali, synonym of ale
uF1905	anpa	# anpa
uF1906	ante	# ante
uF1907	anu	# anu
uF1908	awen	# awen
uF1909	e	# e
uF190A	en	# en
uF190B	esun	# esun
uF190C	ijo	# ijo
uF190D	ike	# ike
uF190E	ilo	# ilo
uF190F	insa	# insa
uF1910	jaki	# jaki
uF1911	jan	# jan
uF1912	jelo	# jelo
uF1913	jo	# jo
uF1914	kala	# kala, default
uF1914	kala1	# kala, without eyes
uFFAA0	kala2	# kala, with eyes
uF1915	kalama	# kalama
uF1916	kama	# kama
uF1917	kasi	# kasi
uF1918	ken	# ken
uF1919	kepeken	# kepeken, synonym of kepen
uF1919	kepen	# kepen, synonym of kepeken
uF191A	kili	# lili
uF191B	kiwen	# kiwen
uF191C	ko	# ko
uF191D	kon	# kon
uF191E	kule	# kule
uF191F	kulupu	# kulupu
uF1920	kute	# kute
uF1921	la	# la
uF1922	lape	# lape
uF1923	laso	# laso
uF1924	lawa	# lawa
uF1925	len	# len
uF1926	lete	# lete
uF1927	li	# li
uF1928	lili	# lili
uF1929	linja	# linja
uF192A	lipu	# lipu
uF192B	loje	# loje
uF192C	lon	# lon
uF192D	luka	# luka
uF192E	lukin	# lukin
uF192F	lupa	# lupa
uF1930	ma	# ma
uF1931	mama	# mama
uF1932	mani	# mani
uF1933	meli	# meli, default
uF1933	meli1	# meli, head with hair
uFFAA1	meli2	# meli, female sign
uF1934	mi	# mi, default
uFFB04	mi1	# mi, straight
uFFB05	mi2	# mi, curved
uF1935	mije	# mije, default
uF1935	mije1	# mije, head and shoulders
uFFAA2	mije2	# mije, male sign
uF1936	moku	# moku
uF1937	moli	# moli, default
uF1937	moli1	# moli, head with X eyes
uFFD68	moli2	# moli, X eyes and mouth
uF1938	monsi	# monsi
uF1939	mu	# mu, default
uF1939	mu1	# mu, mouse face
uFFAB8	mu2	# mu, emitters
uF193A	mun	# mun
uF193B	musi	# musi
uF193C	mute	# mute
uF193D	nanpa	# nanpa
uF193E	nasa	# nasa
uF193F	nasin	# nasin
uF1940	nena	# nena
uF1941	ni	# ni, default
uFFB03	ni1	# ni, downwards
uFFB02	ni2	# ni, rightwards
uFFB01	ni3	# ni, upwards
uFFB00	ni4	# ni, leftwards
uFFD72	ni5	# ni, southeast
uFFD71	ni6	# ni, northeast
uFFD70	ni7	# ni, northwest
uFFD73	ni8	# ni, southwest
uF1942	nimi	# nimi
uF1943	noka	# noka
uF1944	o	# o, default
uFFB12	o1	# o, straight exclamation radical
uFFB13	o2	# o, diagonal exclamation radical
uF1945	olin	# olin, default
uF1945	olin1	# olin, doubled pilin
uFFAA3	olin2	# olin, pilin with emitters
uF1946	ona	# ona, default
uFFB08	ona1	# ona, straight
uFFB09	ona2	# ona, curved
uF1947	open	# open
uF1948	pakala	# pakala
uF1949	pali	# pali
uF194A	palisa	# palisa
uF194B	pan	# pan
uF194C	pana	# pana
uF194D	pi	# pi
uF194E	pilin	# pilin
uF194F	pimeja	# pimeja
uF1950	pini	# pini
uF1951	pipi	# pipi
uF1952	poka	# poka
uF1953	poki	# poki
uF1954	pona	# pona
uF1955	pu	# pu
uF1956	sama	# sama
uF1957	seli	# seli
uF1958	selo	# selo
uF1959	seme	# seme
uF195A	sewi	# sewi, default
uF195A	sewi1	# sewi, Arabic
uFFAA4	sewi2	# sewi, secularized
uF195B	sijelo	# sijelo
uF195C	sike	# sike
uF195C	suke	# suke, typo of sike
uF195D	sin	# sin
uF195E	sina	# sina, default
uFFB06	sina1	# sina, straight
uFFB07	sina2	# sina, curved
uF195F	sinpin	# sinpin
uF1960	sitelen	# sitelen
uF1961	sona	# sona
uF1962	soweli	# soweli
uF1963	suli	# suli
uF1964	suno	# suno
uF1965	supa	# supa
uF1966	suwi	# suwi
uF1967	tan	# tan
uF1968	taso	# taso
uF1969	tawa	# tawa
uF196A	telo	# telo
uF196B	tenpo	# tenpo
uF196C	toki	# toki
uF196D	tomo	# tomo
uF196D	toma	# toma, typo of tomo
uF196E	tu	# tu
uF196F	unpa	# unpa
uF1970	uta	# uta, default
uF1970	uta1	# uta, dotted
uFFAA5	uta2	# uta, dotless
uF1971	utala	# utala
uF1972	walo	# walo
uF1973	wan	# wan
uF1974	waso	# waso
uF1975	wawa	# wawa
uF1976	weka	# weka
uF1977	wile	# wile, default
uF1977	wile1	# wile, curved w
